symbol,fee_bps,policy,total_return,max_drawdown,ending_equity,fees,slippage,turnover,mean_exposure,trades,band_skips,pending_unfilled,bars
ETHUSDT,30,core_tactical_band,0.07131065766835487,-0.12296647147764239,10713.106576683549,159.4895128865431,26.58092203752712,5.030122560416334,0.1570599548887047,58,275,2,365
SOLUSDT,0,cash,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,2,365
SOLUSDT,0,buy_hold,-0.41487114490916777,-0.5167676767676768,5851.288550908323,0.0,0.0,1.0,0.9123287671232877,1,0,2,365
SOLUSDT,0,core_risk,-0.06961097831488383,-0.1575736047361289,9303.890216851161,0.0,0.0,3.363256230869388,0.22929371094829923,333,0,2,365
SOLUSDT,0,core_tactical_risk,0.003917417538899848,-0.11354552824529407,10039.174175388998,0.0,0.0,5.91909998210185,0.16417886121177244,333,0,2,365
SOLUSDT,0,core_tactical_band,0.014676198479744329,-0.10415694019779898,10146.761984797444,0.0,0.0,4.789519452090417,0.15194604283119859,63,270,2,365
SOLUSDT,10,cash,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,2,365
SOLUSDT,10,buy_hold,-0.41574781531229155,-0.5167676767676768,5842.5218468770845,9.990009990009993,4.992508740634758,0.9985017481269357,0.9123287671232877,1,0,2,365
SOLUSDT,10,core_risk,-0.07429291815849048,-0.15876007326131958,9257.070818415095,32.63712776072323,16.31761449710357,3.3630762250611483,0.22929371094829923,333,0,2,365
SOLUSDT,10,core_tactical_risk,-0.004956623838493046,-0.11581158474667486,9950.43376161507,60.00163739253704,30.000580707205486,5.918577558972706,0.16417886121177244,333,0,2,365
SOLUSDT,10,core_tactical_band,0.007412537400488528,-0.10607175374011557,10074.125374004885,48.65939424699316,24.329478115159176,4.789005290061246,0.15194604283119859,63,270,2,365
SOLUSDT,30,cash,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,2,365
SOLUSDT,30,buy_hold,-0.4169128246536429,-0.5167676767676768,5830.871753463571,29.910269192422735,4.982553588609563,0.9965107177218968,0.9123287671232877,1,0,2,365
SOLUSDT,30,core_risk,-0.08049859427452388,-0.16033923788763238,9195.01405725476,97.57623002428772,16.26176152875473,3.3628375581325636,0.22929371094829923,333,0,2,365
SOLUSDT,30,core_tactical_risk,-0.01666684289063236,-0.11882401431010658,9833.331571093677,178.93002416466516,29.821436036565437,5.917882454216211,0.16417886121177244,333,0,2,365
SOLUSDT,30,core_tactical_band,-0.0021916032445807865,-0.10861850471601353,9978.083967554192,145.27180810784057,24.211751561493827,4.788320951720443,0.15194604283119859,63,270,2,365
