symbol,open_time,close_time,available_at_assumed,open,high,low,close,volume
SOLUSDT,2025-05-09T00:00:00+00:00,2025-05-09T23:59:59.999000+00:00,2025-05-10T00:00:00.999000+00:00,164.46,176.15,161.07,172.78,6318574.649
SOLUSDT,2025-05-10T00:00:00+00:00,2025-05-10T23:59:59.999000+00:00,2025-05-11T00:00:00.999000+00:00,172.77,178.98,168.72,177.89,3339701.179
SOLUSDT,2025-05-11T00:00:00+00:00,2025-05-11T23:59:59.999000+00:00,2025-05-12T00:00:00.999000+00:00,177.89,180.26,169.35,173.19,3210729.52
SOLUSDT,2025-05-12T00:00:00+00:00,2025-05-12T23:59:59.999000+00:00,2025-05-13T00:00:00.999000+00:00,173.2,181.46,168.31,174.22,6245732.977
SOLUSDT,2025-05-13T00:00:00+00:00,2025-05-13T23:59:59.999000+00:00,2025-05-14T00:00:00.999000+00:00,174.22,184.83,166.18,183.75,4587043.398
SOLUSDT,2025-05-14T00:00:00+00:00,2025-05-14T23:59:59.999000+00:00,2025-05-15T00:00:00.999000+00:00,183.75,184.88,173.23,176.64,3619155.253
SOLUSDT,2025-05-15T00:00:00+00:00,2025-05-15T23:59:59.999000+00:00,2025-05-16T00:00:00.999000+00:00,176.63,178.33,166.7,169.16,3546037.724
SOLUSDT,2025-05-16T00:00:00+00:00,2025-05-16T23:59:59.999000+00:00,2025-05-17T00:00:00.999000+00:00,169.16,174.21,166.36,167.4,2766386.671
SOLUSDT,2025-05-17T00:00:00+00:00,2025-05-17T23:59:59.999000+00:00,2025-05-18T00:00:00.999000+00:00,167.4,169.99,164.01,165.94,2262121.706
SOLUSDT,2025-05-18T00:00:00+00:00,2025-05-18T23:59:59.999000+00:00,2025-05-19T00:00:00.999000+00:00,165.94,176.77,164.54,173.3,3194610.936
SOLUSDT,2025-05-19T00:00:00+00:00,2025-05-19T23:59:59.999000+00:00,2025-05-20T00:00:00.999000+00:00,173.3,173.94,159.44,166.86,4076352.744
SOLUSDT,2025-05-20T00:00:00+00:00,2025-05-20T23:59:59.999000+00:00,2025-05-21T00:00:00.999000+00:00,166.87,173.11,164.51,168.59,3135420.426
SOLUSDT,2025-05-21T00:00:00+00:00,2025-05-21T23:59:59.999000+00:00,2025-05-22T00:00:00.999000+00:00,168.59,175.99,165.51,173.53,4400610.4
SOLUSDT,2025-05-22T00:00:00+00:00,2025-05-22T23:59:59.999000+00:00,2025-05-23T00:00:00.999000+00:00,173.54,180.87,172.59,179.68,3608222.862
SOLUSDT,2025-05-23T00:00:00+00:00,2025-05-23T23:59:59.999000+00:00,2025-05-24T00:00:00.999000+00:00,179.68,187.71,173.23,174.01,6112910.776
SOLUSDT,2025-05-24T00:00:00+00:00,2025-05-24T23:59:59.999000+00:00,2025-05-25T00:00:00.999000+00:00,174.0,178.33,172.5,175.87,2317965.021
SOLUSDT,2025-05-25T00:00:00+00:00,2025-05-25T23:59:59.999000+00:00,2025-05-26T00:00:00.999000+00:00,175.87,176.88,169.14,175.74,2530363.859
SOLUSDT,2025-05-26T00:00:00+00:00,2025-05-26T23:59:59.999000+00:00,2025-05-27T00:00:00.999000+00:00,175.75,179.02,173.48,174.91,2214724.796
SOLUSDT,2025-05-27T00:00:00+00:00,2025-05-27T23:59:59.999000+00:00,2025-05-28T00:00:00.999000+00:00,174.92,179.41,171.24,176.71,2568509.368
SOLUSDT,2025-05-28T00:00:00+00:00,2025-05-28T23:59:59.999000+00:00,2025-05-29T00:00:00.999000+00:00,176.72,177.45,168.92,172.21,2534660.877
SOLUSDT,2025-05-29T00:00:00+00:00,2025-05-29T23:59:59.999000+00:00,2025-05-30T00:00:00.999000+00:00,172.22,175.34,165.96,166.71,2641789.968
SOLUSDT,2025-05-30T00:00:00+00:00,2025-05-30T23:59:59.999000+00:00,2025-05-31T00:00:00.999000+00:00,166.71,167.51,155.22,156.2,3770279.512
SOLUSDT,2025-05-31T00:00:00+00:00,2025-05-31T23:59:59.999000+00:00,2025-06-01T00:00:00.999000+00:00,156.2,158.01,152.14,156.45,2352257.752
SOLUSDT,2025-06-01T00:00:00+00:00,2025-06-01T23:59:59.999000+00:00,2025-06-02T00:00:00.999000+00:00,156.45,157.92,150.59,157.68,2042131.041
