symbol,open_time,close_time,available_at_assumed,open,high,low,close,volume
BTCUSDT,2025-01-24T00:00:00+00:00,2025-01-24T23:59:59.999000+00:00,2025-01-25T00:00:00.999000+00:00,103910.35,107120.0,102750.0,104870.5,23609.24017
BTCUSDT,2025-01-25T00:00:00+00:00,2025-01-25T23:59:59.999000+00:00,2025-01-26T00:00:00.999000+00:00,104870.51,105286.52,104106.09,104746.85,9068.32377
BTCUSDT,2025-01-26T00:00:00+00:00,2025-01-26T23:59:59.999000+00:00,2025-01-27T00:00:00.999000+00:00,104746.86,105500.0,102520.44,102620.0,9812.51238
BTCUSDT,2025-01-27T00:00:00+00:00,2025-01-27T23:59:59.999000+00:00,2025-01-28T00:00:00.999000+00:00,102620.01,103260.0,97777.77,102082.83,50758.1341
BTCUSDT,2025-01-28T00:00:00+00:00,2025-01-28T23:59:59.999000+00:00,2025-01-29T00:00:00.999000+00:00,102082.83,103800.0,100272.68,101335.52,22022.05765
BTCUSDT,2025-01-29T00:00:00+00:00,2025-01-29T23:59:59.999000+00:00,2025-01-30T00:00:00.999000+00:00,101335.52,104782.68,101328.01,103733.24,23155.35802
BTCUSDT,2025-01-30T00:00:00+00:00,2025-01-30T23:59:59.999000+00:00,2025-01-31T00:00:00.999000+00:00,103733.25,106457.44,103278.54,104722.94,19374.07472
BTCUSDT,2025-01-31T00:00:00+00:00,2025-01-31T23:59:59.999000+00:00,2025-02-01T00:00:00.999000+00:00,104722.94,106012.0,101560.0,102429.56,21983.18193
BTCUSDT,2025-02-01T00:00:00+00:00,2025-02-01T23:59:59.999000+00:00,2025-02-02T00:00:00.999000+00:00,102429.56,102783.71,100279.51,100635.65,12290.95747
BTCUSDT,2025-02-02T00:00:00+00:00,2025-02-02T23:59:59.999000+00:00,2025-02-03T00:00:00.999000+00:00,100635.66,101456.6,96150.0,97700.59,34619.49939
BTCUSDT,2025-02-03T00:00:00+00:00,2025-02-03T23:59:59.999000+00:00,2025-02-04T00:00:00.999000+00:00,97700.59,102500.01,91231.0,101328.52,75164.7385
BTCUSDT,2025-02-04T00:00:00+00:00,2025-02-04T23:59:59.999000+00:00,2025-02-05T00:00:00.999000+00:00,101328.51,101732.31,96150.0,97763.13,40267.98697
BTCUSDT,2025-02-05T00:00:00+00:00,2025-02-05T23:59:59.999000+00:00,2025-02-06T00:00:00.999000+00:00,97763.14,99149.0,96155.0,96612.43,26233.30444
BTCUSDT,2025-02-06T00:00:00+00:00,2025-02-06T23:59:59.999000+00:00,2025-02-07T00:00:00.999000+00:00,96612.44,99120.0,95676.64,96554.35,23515.20405
BTCUSDT,2025-02-07T00:00:00+00:00,2025-02-07T23:59:59.999000+00:00,2025-02-08T00:00:00.999000+00:00,96554.35,100137.99,95620.34,96506.8,31794.22065
BTCUSDT,2025-02-08T00:00:00+00:00,2025-02-08T23:59:59.999000+00:00,2025-02-09T00:00:00.999000+00:00,96506.8,96880.0,95688.0,96444.74,10147.24294
